Test takers,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10
Student 72,0,0,0,0,1,1,0,0,0,0
Student 73,0,1,1,0,1,1,0,0,1,1
Student 74,1,1,0,1,1,1,1,0,1,0
Student 75,0,0,1,1,0,0,0,0,1,0
Student 76,1,1,0,0,0,0,1,0,0,0
Student 77,0,0,0,0,0,0,0,0,0,0
Student 78,0,0,0,0,0,0,0,0,0,0
Student 79,0,0,0,0,0,0,1,0,0,0
Student 80,0,0,0,1,0,1,0,1,1,1
Student 81,0,0,0,0,1,0,1,0,0,0
Student 82,0,1,0,0,0,1,0,0,0,0
Student 83,0,0,0,0,0,0,0,0,0,0
Student 84,0,1,0,0,0,0,0,0,0,0
Student 85,0,1,0,1,1,0,1,1,0,0
Student 86,0,1,1,1,1,1,1,1,1,1
Student 87,0,0,0,0,1,0,1,1,0,0
Student 88,0,1,1,1,1,0,1,0,1,0
Student 89,0,0,1,0,1,1,1,0,0,0
Student 90,0,0,0,1,0,1,0,0,0,0
Student 91,0,1,0,1,1,1,0,0,1,0
Student 92,0,0,1,1,0,0,1,0,0,0
Student 93,0,0,0,0,0,0,0,0,0,0
Student 94,0,0,1,0,1,0,1,1,0,0
Student 95,0,0,1,0,1,0,1,1,0,0
Student 96,1,0,0,1,1,1,0,1,1,0
Student 97,0,0,0,0,0,0,0,0,0,0
Student 98,0,0,1,0,1,0,1,1,1,0
Student 99,0,0,0,1,1,0,1,0,1,0
Student 100,0,0,0,0,0,0,0,0,0,0
Student 101,0,0,0,0,1,0,1,0,1,0
Student 102,1,0,1,0,0,0,1,1,0,0
Student 103,1,1,0,1,1,1,1,1,0,1
Student 104,0,0,0,0,1,1,0,0,1,0
Student 105,0,0,0,0,0,0,0,0,0,0
Student 106,0,0,0,0,0,1,0,0,0,0
Student 107,0,0,0,1,0,0,0,0,0,0
Student 108,1,1,1,1,1,0,1,1,1,0
Student 109,0,0,0,0,1,0,0,0,0,0
Student 110,0,0,0,0,0,0,0,0,0,0
Student 111,0,1,0,1,0,0,1,1,1,0
Student 112,1,1,1,1,1,0,1,1,1,0
Student 113,0,0,1,1,0,1,0,0,0,0
Student 114,0,0,0,0,1,1,0,0,0,0
Student 115,0,0,0,0,1,0,1,0,0,0
Student 116,0,1,1,0,0,0,0,0,0,0
Student 117,0,0,0,0,0,0,0,0,0,0
Student 118,0,0,0,0,0,0,0,0,0,0
Student 119,0,0,0,0,0,0,0,0,0,0
Student 120,0,0,0,0,0,0,0,0,1,0
Student 121,0,0,1,0,0,1,1,0,1,0
Student 122,0,0,0,0,0,0,0,0,0,0
Student 123,0,0,0,0,0,0,1,0,0,0
Student 124,0,1,0,0,0,0,1,0,0,0
Student 125,0,0,1,1,0,0,0,1,1,0
Student 126,0,0,0,0,0,0,0,0,1,0
Student 127,0,0,0,0,0,0,0,0,0,0
Student 128,0,0,1,0,0,1,0,1,0,0
Student 129,1,1,0,1,0,1,1,1,1,1
Student 130,0,0,0,0,1,1,0,0,0,0
Student 131,0,0,0,0,0,1,1,1,1,0
Student 132,1,0,1,1,0,1,1,1,0,0
Student 133,0,0,0,0,0,0,0,0,0,0
Student 134,0,0,0,0,0,0,0,0,0,0
Student 135,0,0,0,1,1,0,0,1,0,0
Student 136,0,0,0,0,0,0,0,0,0,0
Student 137,1,1,1,1,0,1,1,0,1,0
Student 138,0,0,0,0,0,0,1,0,0,0
Student 139,0,0,0,1,1,1,1,1,0,0
Student 140,1,1,0,0,1,1,1,1,1,0
Student 141,1,1,0,0,0,0,1,1,1,1
Student 142,1,0,1,0,1,1,0,1,1,0
Student 143,0,0,0,0,1,0,0,1,0,0
Student 144,0,0,0,0,0,0,0,1,0,0
Student 145,0,0,0,0,0,1,1,1,0,0
Student 146,0,0,0,0,0,1,0,0,0,0
Student 147,0,0,1,0,0,1,0,1,1,0
Student 148,0,0,1,1,0,1,0,1,1,1
Student 149,0,1,0,0,1,0,1,0,0,0
Student 150,1,0,1,0,1,0,1,0,1,0
Student 151,0,0,1,0,0,0,0,0,0,0
Student 152,0,0,1,1,1,0,0,0,1,0
Student 153,1,1,1,1,1,1,1,1,1,1
Student 154,0,0,0,0,0,0,0,0,1,0
Student 155,1,0,1,1,1,1,1,0,0,0
Student 156,0,0,0,0,0,0,1,0,0,0
Student 157,1,0,0,0,0,0,1,1,0,0
Student 158,0,0,0,0,0,0,1,0,0,0
Student 159,0,0,1,0,0,0,1,0,1,0
Student 160,0,1,0,0,0,0,0,0,0,0
Student 161,1,0,1,1,0,1,1,0,1,0
Student 162,0,1,1,1,1,0,0,1,1,0
Student 163,0,0,0,0,0,0,0,0,0,0
Student 164,1,0,0,0,1,0,1,0,0,0
Student 165,0,0,0,1,0,1,1,0,0,0
Student 166,0,0,0,0,0,0,0,0,0,0
Student 167,0,0,0,0,1,0,0,1,0,0
Student 168,0,0,1,0,0,1,0,0,0,0
Student 169,1,0,0,1,1,1,0,1,1,0
Student 170,1,0,0,0,0,1,1,1,0,0
Student 171,1,1,0,1,1,1,1,1,1,0
Student 172,0,1,0,1,1,0,0,1,0,0
Student 173,1,1,1,1,1,1,1,1,1,1
Student 174,0,0,0,1,0,1,0,0,0,0
Student 175,0,0,0,0,0,0,0,0,0,0
Student 176,0,0,0,0,0,0,0,0,0,0
Student 177,0,1,1,1,1,1,1,0,0,0
Student 178,0,1,0,0,0,0,0,1,0,0
Student 179,0,0,1,0,0,0,1,0,0,0
Student 180,0,0,0,0,0,0,0,0,0,0
Student 181,0,0,1,0,0,0,1,1,0,0
Student 182,0,0,1,0,1,0,0,0,0,1
Student 183,0,0,0,0,0,0,0,0,0,0
Student 184,0,0,1,0,1,1,1,0,0,0
Student 185,0,0,0,1,1,0,0,1,1,0
Student 186,0,0,1,0,0,1,0,0,0,0
Student 187,0,0,0,0,0,0,0,0,0,0
Student 188,0,0,0,0,0,0,0,0,0,0
Student 189,0,0,1,0,0,0,0,0,0,0
Student 190,0,0,0,0,0,0,1,0,0,0
Student 191,0,0,1,0,1,0,0,1,0,0
Student 192,0,0,0,0,0,0,0,0,0,0
Student 193,0,0,0,0,1,0,1,0,0,0
Student 194,1,1,1,0,1,1,1,1,1,0
Student 195,0,1,1,0,0,0,0,0,0,0
Student 196,0,0,0,0,1,0,0,0,0,0
Student 197,0,1,0,0,0,0,0,0,1,0
Student 198,0,1,1,0,0,0,1,1,0,0
Student 199,0,1,1,1,1,1,0,1,1,1
Student 200,0,1,0,0,1,0,0,1,1,0
Student 201,0,0,0,0,1,0,0,0,0,0
Student 202,1,0,1,1,0,1,1,0,0,0
Student 203,0,0,0,0,0,0,0,0,0,0
Student 204,0,0,0,0,1,1,1,1,1,0
Student 205,0,0,0,0,1,0,0,1,1,0
Student 206,1,0,0,0,1,1,0,0,1,0
Student 207,0,0,0,0,0,1,1,1,0,0
Student 208,1,0,0,0,1,1,1,0,1,0
Student 209,0,1,1,1,1,1,1,1,1,0
Student 210,0,0,0,0,0,0,1,1,0,0
Student 211,0,1,0,0,0,0,0,0,0,0
Student 212,0,0,0,0,0,0,0,0,0,0
Student 213,0,0,1,1,1,1,0,1,1,1
Student 214,1,0,1,0,0,0,1,0,0,0
Student 215,0,0,0,0,0,0,0,0,0,0
Student 216,1,1,1,1,1,0,0,0,1,0
Student 217,0,0,0,0,1,0,0,0,0,0
Student 218,0,0,0,0,0,1,0,1,0,0
Student 219,0,0,0,1,0,0,0,0,0,0
Student 220,0,0,0,0,0,0,0,0,0,0
Student 221,0,0,0,0,0,0,1,1,0,0
Student 222,0,0,0,1,0,0,0,1,1,0
Student 223,1,1,1,1,1,1,1,1,0,0
Student 224,1,1,1,1,1,0,0,1,1,1
Student 225,1,1,0,0,1,0,1,0,0,0
Student 226,0,1,0,0,1,1,0,1,1,0
Student 227,0,0,0,0,0,0,0,0,0,0
Student 228,0,0,0,0,0,0,0,0,0,0
Student 229,0,0,0,0,1,0,0,1,1,0
Student 230,0,0,0,0,0,0,0,0,0,0
Student 231,0,0,0,0,1,0,1,1,0,0
Student 232,0,0,1,0,0,0,0,0,0,0
Student 233,0,0,1,0,0,0,0,1,0,0
Student 234,0,0,0,0,0,0,0,0,0,0
Student 235,0,0,0,0,0,0,0,0,0,0
Student 236,0,1,0,0,1,0,0,1,1,0
Student 237,0,0,1,0,0,0,0,0,0,0
Student 238,0,0,0,1,1,0,1,0,0,0
Student 239,0,0,0,0,1,0,0,0,0,0
Student 240,1,1,1,0,1,1,1,0,0,0
Student 241,0,0,1,0,1,0,1,0,1,0
Student 242,0,0,0,0,0,0,0,0,0,0
Student 243,1,1,1,1,1,1,1,1,0,0
Student 244,1,0,1,1,1,1,1,1,1,0
Student 245,0,0,0,0,0,1,0,0,1,0
Student 246,0,0,0,0,1,0,1,0,0,0
Student 247,0,0,0,0,0,0,0,0,0,0
Student 248,0,0,0,0,1,1,0,1,0,0
Student 249,0,0,0,1,1,1,0,0,0,0
Student 250,0,0,1,0,0,0,1,0,0,0
Student 251,0,1,1,0,0,1,0,0,0,0
Student 252,0,0,0,0,0,0,0,0,1,0
Student 253,0,1,1,0,1,0,1,0,1,1
Student 254,0,1,0,1,0,1,1,0,0,0
Student 255,0,1,1,1,1,1,0,0,1,1
Student 256,0,1,1,0,0,1,1,0,0,0
Student 257,0,0,0,0,0,0,0,0,0,0
Student 258,1,1,0,0,0,0,0,0,0,0
Student 259,1,0,0,1,1,1,1,1,1,1
Student 260,0,1,1,1,1,1,1,1,0,0
Student 261,0,0,0,0,0,0,1,0,0,0
Student 262,0,0,1,1,0,1,1,1,1,0
Student 263,0,0,0,0,0,0,0,0,0,0
Student 264,0,0,0,1,0,0,0,0,0,0
Student 265,0,0,0,0,1,1,0,0,1,0
Student 266,1,0,1,0,0,0,1,0,1,0
Student 267,0,0,0,1,1,0,0,1,1,1
Student 268,0,1,0,0,1,0,0,0,0,0
Student 269,0,0,0,1,0,0,0,0,0,0
Student 270,0,0,0,0,0,0,1,0,0,0
Student 271,0,1,0,0,0,0,1,0,0,0
Student 272,0,0,1,1,0,1,0,1,1,0
Student 273,0,1,1,1,1,1,0,1,1,1
Student 274,0,0,0,0,0,0,0,0,0,0
Student 275,0,0,0,0,0,0,1,0,0,0
Student 276,0,0,1,0,0,0,1,1,0,0
Student 277,0,0,1,0,0,0,0,1,0,0
Student 278,0,1,0,0,1,1,1,1,1,0
Student 279,0,0,1,0,1,1,0,0,0,0
Student 280,0,0,0,0,0,0,0,0,0,0
Student 281,0,1,0,0,0,0,1,1,0,0
Student 282,0,0,0,0,0,0,1,0,0,0
Student 283,0,0,0,0,1,1,1,0,0,0
Student 284,0,1,1,0,1,0,1,0,0,0
Student 285,0,1,1,1,1,0,0,1,1,0
Student 286,0,0,1,0,1,1,1,0,1,1
Student 287,0,0,0,0,0,0,0,0,0,0
Student 288,1,0,0,1,1,1,1,1,0,0
Student 289,0,0,0,1,1,0,0,1,0,0
Student 290,0,0,0,1,1,1,1,0,0,0
Student 291,0,1,1,0,1,0,0,0,1,0
Student 292,1,0,1,0,1,0,1,0,0,0
Student 293,1,0,1,1,1,1,1,1,1,1
Student 294,0,0,1,0,0,0,0,1,0,0
Student 295,0,0,1,0,1,0,1,1,1,0
Student 296,0,0,0,0,0,0,0,0,0,0
Student 297,0,0,0,0,0,0,0,0,0,0
Student 298,0,1,1,0,0,0,1,0,0,0
Student 299,1,1,1,1,1,1,0,0,1,0
Student 300,0,0,1,0,1,1,1,1,0,0
Student 301,1,1,1,0,1,0,1,1,1,0
Student 302,0,0,1,1,0,0,1,0,0,0
Student 303,0,0,0,0,0,0,0,0,0,0
Student 304,0,0,0,0,1,0,0,0,0,0
Student 305,0,0,0,0,0,0,0,0,0,0
Student 306,0,0,0,0,1,0,0,0,0,0
Student 307,0,1,0,0,0,0,0,0,0,0
Student 308,0,0,1,1,1,1,0,0,0,0
Student 309,1,0,1,1,1,0,0,1,0,0
Student 310,0,1,0,0,1,0,0,0,0,0
Student 311,1,0,1,1,1,0,1,0,1,0
Student 312,1,0,0,0,1,0,1,0,0,0
Student 313,0,0,0,0,0,0,1,0,0,0
Student 314,0,0,0,1,0,0,1,0,0,0
Student 315,0,1,1,1,1,1,1,1,0,1
Student 316,0,0,0,0,0,0,0,0,0,0
Student 317,0,0,1,0,0,1,0,1,1,1
Student 318,0,0,1,0,1,0,1,1,0,0
Student 319,1,0,0,1,1,1,1,0,1,0
Student 320,0,0,0,1,0,0,0,1,0,0
Student 321,1,0,0,0,0,0,0,0,0,0
Student 322,0,0,0,0,0,0,1,0,0,0
Student 323,0,1,0,1,1,0,1,1,1,0
Student 324,0,0,0,1,0,0,0,0,0,0
Student 325,0,1,1,1,0,1,1,1,1,0
Student 326,0,1,0,0,0,1,0,0,0,0
Student 327,0,0,0,0,1,0,1,0,0,0
Student 328,1,1,1,1,1,0,1,0,1,0
Student 329,0,0,1,1,1,0,1,1,1,0
Student 330,0,0,1,0,1,1,1,1,0,0
Student 331,0,0,0,1,0,0,0,0,1,0
Student 332,0,0,0,1,0,0,1,0,0,0
Student 333,0,0,0,1,1,0,0,1,0,0
Student 334,0,0,0,0,0,0,0,0,0,0
Student 335,0,0,0,0,0,0,0,0,0,0
Student 336,0,0,0,0,0,0,0,0,0,0
Student 337,0,0,0,0,0,0,0,0,0,0
Student 338,0,0,0,0,1,0,0,0,0,0
Student 339,0,0,1,1,1,0,0,1,1,1
Student 340,0,0,0,0,0,0,0,0,0,0
Student 341,0,0,1,0,1,0,0,1,0,0
Student 342,1,1,0,1,1,1,1,0,1,1
Student 343,0,0,0,0,0,0,0,0,0,0
Student 344,0,0,0,0,0,0,0,0,0,0
Student 345,1,0,0,0,0,0,1,0,0,0
Student 346,0,0,1,0,1,0,0,1,1,0
Student 347,0,0,0,1,1,1,1,1,1,0
Student 348,0,0,0,0,0,0,1,0,0,0
Student 349,0,0,1,1,1,0,1,0,0,0
Student 350,0,0,1,0,0,0,0,0,0,0
Student 351,0,0,0,0,0,1,0,0,0,0
Student 352,0,0,0,0,1,0,1,0,1,0
Student 353,0,0,0,0,0,0,1,1,0,0
Student 354,0,0,0,0,0,1,0,0,1,0
Student 355,1,0,0,0,0,0,1,0,0,0
Student 356,0,1,0,0,1,0,1,1,0,0
Student 357,0,0,0,0,0,0,0,0,0,0
Student 358,0,0,0,0,1,0,0,0,0,0
Student 359,0,1,1,1,0,0,1,0,0,0
Student 360,1,0,0,0,1,0,1,1,0,1
Student 361,0,0,0,0,0,0,0,0,0,0
Student 362,0,0,0,0,1,0,0,0,0,0
Student 363,0,0,1,0,0,1,0,0,0,0
Student 364,0,0,0,0,0,0,0,0,0,0
Student 365,0,0,0,0,0,0,0,0,0,0
Student 366,0,0,0,0,0,0,1,1,0,0
Student 367,0,0,0,0,0,0,1,0,0,0
Student 368,1,0,0,0,1,0,0,0,0,0
Student 369,0,0,0,0,0,0,0,0,0,0
Student 370,1,1,1,1,1,1,1,1,1,1
Student 371,0,1,0,0,0,0,1,0,0,0
Student 372,0,0,0,0,0,0,1,0,0,0
Student 373,0,0,0,0,0,0,0,0,0,0
Student 374,0,0,1,1,0,1,1,1,1,0
Student 375,0,0,1,0,1,0,1,0,0,0
Student 376,0,0,1,0,0,0,0,1,0,0
Student 377,0,1,0,1,1,1,0,1,1,0
Student 378,0,0,0,0,1,0,0,1,1,0
Student 379,0,0,0,0,0,0,0,0,0,0
Student 380,1,1,1,1,1,1,1,0,1,0
Student 381,0,1,1,0,0,1,0,0,0,0
Student 382,0,0,0,0,0,0,1,0,0,0
Student 383,0,1,1,0,0,1,0,1,0,0
Student 384,1,1,1,1,1,1,1,1,1,0
Student 385,0,0,0,0,1,0,0,0,1,0
Student 386,0,0,0,1,0,0,0,1,1,0
Student 387,0,0,0,1,0,1,0,0,0,0
Student 388,1,1,1,1,1,0,1,1,1,0
Student 389,0,0,0,1,1,0,0,1,0,0
Student 390,0,0,0,0,0,0,0,0,0,0
Student 391,0,0,0,0,0,1,0,0,0,0
Student 392,0,0,1,0,0,0,1,1,1,0
Student 393,0,1,0,0,1,0,1,0,0,0
Student 394,0,0,0,0,0,0,0,0,0,0
Student 395,0,0,0,0,0,0,0,0,0,0
Student 396,0,0,0,0,1,0,0,1,0,0
Student 397,0,0,0,0,0,1,0,0,1,0
Student 398,1,0,1,0,1,1,1,1,1,0
Student 399,0,0,0,0,1,0,0,1,1,0
Student 400,0,1,1,0,1,0,0,1,0,0
Student 401,0,0,0,1,0,0,0,0,0,0
Student 402,0,0,1,1,1,0,0,0,1,0
Student 403,1,1,0,1,1,1,1,0,1,0
Student 404,1,1,1,1,1,0,0,1,0,0
Student 405,0,1,1,1,1,1,1,1,1,1
Student 406,0,0,1,0,0,0,1,0,1,0
Student 407,0,0,0,0,0,0,0,0,0,0
Student 408,0,0,0,0,0,0,0,0,0,0
Student 409,1,0,0,1,0,1,0,0,0,0
Student 410,0,0,0,0,1,0,1,0,0,0
Student 411,0,0,1,0,1,1,0,1,0,0
Student 412,0,0,1,1,1,0,0,0,1,0
Student 413,0,0,0,0,0,0,0,1,1,0
Student 414,0,0,1,0,1,0,0,0,1,0
Student 415,0,0,0,1,1,0,0,0,0,0
Student 416,0,0,0,0,0,0,0,0,0,0
Student 417,0,0,0,0,0,0,0,0,0,0
Student 418,0,0,0,0,0,0,1,0,0,0
Student 419,1,0,0,1,1,1,0,0,0,1
Student 420,0,0,0,0,0,0,0,0,0,0
Student 421,0,0,0,0,0,0,0,0,0,0
Student 422,0,0,1,1,0,1,1,0,1,1
Student 423,0,1,0,0,0,0,0,0,1,0
Student 424,0,0,1,0,1,0,0,0,0,0
Student 425,0,0,0,0,1,0,0,0,0,0
Student 426,0,0,0,1,0,0,0,0,0,0
Student 427,0,1,0,0,0,1,0,1,0,0
Student 428,0,1,0,0,0,0,0,0,1,0
Student 429,0,0,0,0,0,0,0,0,0,0
Student 430,0,0,0,0,0,0,0,0,0,0
Student 431,1,0,0,0,0,0,0,1,0,0
Student 432,0,0,0,0,0,0,0,0,0,0
Student 433,0,0,0,0,1,0,1,1,1,0
Student 434,0,1,0,0,0,1,0,0,0,0
Student 435,0,0,0,1,1,0,1,0,0,0
Student 436,0,0,1,0,0,1,0,1,0,0
Student 437,0,1,0,0,0,0,0,0,0,0
Student 438,0,0,0,0,0,0,0,0,0,0
Student 439,0,1,0,0,0,0,0,0,0,0
Student 440,0,0,0,0,0,0,0,0,0,0
Student 441,0,0,0,1,1,0,1,0,0,0
Student 442,0,0,0,0,0,1,1,0,0,0
Student 443,0,0,0,0,0,0,0,0,0,0
Student 444,0,1,0,0,1,0,0,0,0,0
Student 445,0,0,0,0,0,0,0,0,0,0
Student 446,0,1,0,0,1,0,0,1,1,0
Student 447,0,1,1,0,0,0,0,1,0,0
Student 448,0,0,1,0,0,0,1,0,0,0
Student 449,0,0,0,0,0,0,0,0,0,0
Student 450,1,1,1,0,1,1,0,0,1,0
Student 451,0,1,1,1,1,1,0,1,1,1
Student 452,0,0,0,0,1,0,1,0,0,0
Student 453,0,0,1,0,0,0,1,0,0,0
Student 454,0,0,0,0,0,0,0,1,1,0
Student 455,1,1,0,0,1,1,0,0,1,0
Student 456,0,0,0,0,1,1,1,0,0,0
Student 457,0,0,0,0,0,0,0,0,1,0
Student 458,0,0,1,0,1,0,0,0,0,0
Student 459,0,1,0,0,0,0,0,0,0,0
Student 460,0,1,1,1,1,1,1,1,1,0
Student 461,0,0,0,0,0,0,0,0,0,0
Student 462,0,1,0,0,1,0,0,0,1,0
Student 463,0,0,1,0,0,0,1,1,0,0
Student 464,0,0,0,1,0,0,0,0,0,0
Student 465,1,1,1,0,0,1,1,1,0,0
Student 466,0,1,0,0,0,0,1,0,0,0
Student 467,0,1,1,0,1,1,0,0,1,0
Student 468,0,0,0,0,1,1,1,0,0,0
Student 469,0,0,0,1,1,0,1,0,1,1
Student 470,0,1,1,1,1,1,1,1,0,0
Student 471,1,0,0,0,1,1,1,1,1,0
Student 472,0,0,0,0,1,0,0,0,0,0
Student 473,0,0,0,0,0,0,0,0,1,0
Student 474,0,0,0,0,0,0,0,0,0,0
Student 475,0,0,0,0,0,0,0,0,0,0
Student 476,0,0,0,0,1,0,1,1,0,0
Student 477,0,0,0,0,1,0,1,0,0,0
Student 478,0,0,0,0,0,0,0,0,0,0
Student 479,0,0,0,0,1,0,0,0,0,0
Student 480,0,0,1,1,1,1,1,0,0,0
Student 481,0,0,0,0,0,0,0,0,0,0
Student 482,0,0,0,1,0,1,0,0,0,0
Student 483,0,0,1,0,0,1,1,1,1,0
Student 484,0,1,0,0,1,0,1,1,1,0
Student 485,1,0,0,0,0,1,1,1,0,0
Student 486,0,1,1,1,0,0,0,0,0,0
Student 487,0,0,0,0,0,1,0,0,0,0
Student 488,0,0,1,0,0,0,0,0,0,0
Student 489,0,1,0,0,1,0,0,0,0,0
Student 490,0,0,1,0,1,0,0,0,1,0
Student 491,0,1,0,1,1,0,0,1,0,0
Student 492,0,1,0,0,1,0,1,1,0,0
Student 493,0,1,0,0,0,0,0,0,0,0
Student 494,0,0,0,0,0,0,0,0,0,0
Student 495,0,1,0,1,0,1,1,1,1,0
Student 496,0,0,0,1,0,1,1,1,0,0
Student 497,0,0,0,1,1,1,1,1,1,0
Student 498,0,1,0,0,0,0,0,0,1,0
Student 499,0,0,0,0,0,0,0,0,0,0
Student 500,0,0,0,0,0,1,0,1,0,0
